"2020-05-29 13:20:37",EventLogger,log_opened,"Log opened upon Event Logger startup."
"2020-05-29 13:20:42","AIR:401000000","building-toon",401000536,"2300|36"
"2020-05-29 13:20:42","AIR:401000000","building-toon",401000541,"2300|5"
"2020-05-29 13:20:42","AIR:401000000","building-toon",401000546,"2300|34"
"2020-05-29 13:20:42","AIR:401000000","building-toon",401000552,"2300|29"
"2020-05-29 13:20:42","AIR:401000000","building-toon",401000558,"2300|30"
"2020-05-29 13:20:42","AIR:401000000","building-cog",401000564,"2300|18|s|2"
"2020-05-29 13:20:42","AIR:401000000","building-toon",401000566,"2300|31"
"2020-05-29 13:20:42","AIR:401000000","building-toon",401000572,"2300|21"
"2020-05-29 13:20:42","AIR:401000000","building-toon",401000577,"2300|22"
"2020-05-29 13:20:42","AIR:401000000","building-toon",401000583,"2300|33"
"2020-05-29 13:20:42","AIR:401000000","building-cog",401000588,"2300|24|c|1"
"2020-05-29 13:20:42","AIR:401000000","building-toon",401000590,"2300|23"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000643,"1000|8"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000669,"1100|26"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000675,"1100|2"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000681,"1100|4"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000687,"1100|6"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000693,"1100|8"
"2020-05-29 13:20:45","AIR:401000000","building-cog",401000699,"1100|20|c|1"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000701,"1100|9"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000707,"1100|27"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000713,"1100|12"
"2020-05-29 13:20:45","AIR:401000000","building-cog",401000719,"1100|13|c|2"
"2020-05-29 13:20:45","AIR:401000000","building-cog",401000721,"1100|14|c|1"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000723,"1100|15"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000729,"1100|16"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000735,"1100|17"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000741,"1100|19"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000747,"1100|21"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000753,"1100|22"
"2020-05-29 13:20:45","AIR:401000000","building-cog",401000759,"1100|28|c|3"
"2020-05-29 13:20:45","AIR:401000000","building-cog",401000761,"1100|24|c|3"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000772,"1200|25"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000778,"1200|3"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000784,"1200|6"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000790,"1200|5"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000796,"1200|7"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000802,"1200|26"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000808,"1200|9"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000814,"1200|10"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000820,"1200|11"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000826,"1200|12"
"2020-05-29 13:20:45","AIR:401000000","building-cog",401000832,"1200|14|m|3"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000834,"1200|13"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000840,"1200|27"
"2020-05-29 13:20:45","AIR:401000000","building-cog",401000846,"1200|17|m|1"
"2020-05-29 13:20:45","AIR:401000000","building-cog",401000848,"1200|18|m|4"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000850,"1200|19"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000856,"1200|20"
"2020-05-29 13:20:45","AIR:401000000","building-cog",401000862,"1200|21|m|3"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000864,"1200|23"
"2020-05-29 13:20:45","AIR:401000000","building-cog",401000870,"1200|24|m|3"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000872,"1200|1"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000878,"1200|16"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000884,"1200|28"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000899,"1300|30"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000905,"1300|29"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000911,"1300|31"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000917,"1300|2"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000923,"1300|32"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000929,"1300|4"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000935,"1300|5"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000941,"1300|6"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000947,"1300|7"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000953,"1300|8"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000959,"1300|9"
"2020-05-29 13:20:45","AIR:401000000","building-cog",401000965,"1300|10|c|1"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000967,"1300|11"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000973,"1300|14"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000979,"1300|13"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000985,"1300|15"
"2020-05-29 13:20:45","AIR:401000000","building-cog",401000991,"1300|33|c|1"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401000993,"1300|18"
"2020-05-29 13:20:45","AIR:401000000","building-cog",401000999,"1300|19|c|2"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401001001,"1300|20"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401001007,"1300|21"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401001013,"1300|23"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401001019,"1300|24"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401001025,"1300|25"
"2020-05-29 13:20:45","AIR:401000000","building-cog",401001031,"1300|26|m|3"
"2020-05-29 13:20:45","AIR:401000000","building-toon",401001033,"1300|34"
"2020-05-29 13:20:45","AIR:401000000","building-cog",401001039,"1300|28|c|2"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001089,"5000|3"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001115,"5100|2"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001121,"5100|1"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001127,"5100|3"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001133,"5100|5"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001139,"5100|4"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001145,"5100|6"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001151,"5100|7"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001157,"5100|8"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001163,"5100|9"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001169,"5100|11"
"2020-05-29 13:20:48","AIR:401000000","building-cog",401001175,"5100|10|s|3"
